CheckInDate,CheckOutDate,RateAmount,BookingStatus,RoomType,Channel,GuestName,GuestCountry,RepeatGuest
2024-08-29,2024-09-03,410.90,Confirmed,Double,Direct,,,true
2025-05-02,2025-05-03,82.54,Confirmed,Single,Booking.com,,,true
2024-07-17,2024-07-19,141.14,Confirmed,Double,Direct,,,true
2024-12-27,2024-12-30,245.70,Confirmed,Deluxe,Expedia,,,true
2023-05-12,2023-05-20,608.33,Confirmed,Double,Agoda,,,true
2023-11-27,2023-11-30,351.09,Confirmed,Deluxe,Direct,,,true
2025-08-01,2025-08-03,338.84,Confirmed,Deluxe,Booking.com,,,true
2024-05-16,2024-05-18,123.62,Confirmed,Single,Direct,,,true
2023-03-10,2023-03-12,262.19,Confirmed,Family,Booking.com,,,true
2023-08-05,2023-08-10,1387.28,Confirmed,Family,Direct,,,true
2025-12-23,2025-12-25,169.13,Confirmed,Double,Expedia,,,true
2025-05-17,2025-05-19,91.38,Cancelled,Double,Direct,,,true
2024-05-28,2024-06-03,428.22,Confirmed,Single,Expedia,,,true
2024-11-06,2024-11-09,138.59,Confirmed,Single,Booking.com,,,true
2025-01-10,2025-01-12,156.60,Confirmed,Double,Direct,,,false
2024-10-31,2024-11-04,283.92,Confirmed,Single,Direct,,,true
2023-12-31,2024-01-03,266.63,Confirmed,Double,Booking.com,,,true
2024-01-17,2024-01-21,876.48,Confirmed,Suite,Booking.com,,,true
2025-12-18,2025-12-23,670.86,Confirmed,Deluxe,Agoda,,,false
2023-11-08,2023-11-12,290.94,Confirmed,Double,Booking.com,,,true
2026-02-17,2026-02-21,251.57,Confirmed,Double,Booking.com,,,true
2024-12-10,2024-12-13,204.65,Confirmed,Double,Expedia,,,true
2025-10-20,2025-10-24,277.86,Confirmed,Double,Agoda,,,true
2025-03-29,2025-04-04,427.63,Confirmed,Double,Direct,,,true
2024-06-20,2024-06-21,76.83,Confirmed,Double,Direct,,,true
2023-06-19,2023-06-24,272.16,Confirmed,Single,Direct,,,true
2023-11-18,2023-11-23,288.13,Confirmed,Double,Direct,,,true
2025-03-26,2025-03-30,399.53,Confirmed,Deluxe,Direct,,,true
2025-05-19,2025-05-20,96.96,Confirmed,Double,Direct,,,true
2026-01-01,2026-01-05,260.68,Confirmed,Double,Expedia,,,true
2023-02-14,2023-02-17,166.29,Confirmed,Single,Direct,,,true
2023-05-19,2023-05-24,406.17,Confirmed,Single,Direct,,,true
2024-03-01,2024-03-06,327.95,Confirmed,Single,Agoda,,,true
2025-11-03,2025-11-04,97.14,Confirmed,Double,Booking.com,,,true
2025-08-01,2025-08-05,77.00,Cancelled,Single,Agoda,,,true
2024-12-10,2024-12-13,179.24,Confirmed,Single,Direct,,,true
2023-04-14,2023-04-15,95.31,Confirmed,Double,Booking.com,,,true
2025-10-23,2025-10-25,158.34,Confirmed,Double,Direct,,,true
2023-05-14,2023-05-16,140.94,Confirmed,Single,Agoda,,,true
2023-12-23,2023-12-24,121.30,Confirmed,Double,Agoda,,,false
2025-04-03,2025-04-08,744.18,Confirmed,Deluxe,Booking.com,,,true
2023-09-06,2023-09-10,857.70,Confirmed,Family,Agoda,,,true
2023-10-12,2023-10-16,180.11,Confirmed,Single,Booking.com,,,true
2026-01-13,2026-01-14,131.99,Confirmed,Deluxe,Booking.com,,,false
2023-04-04,2023-04-05,103.15,Confirmed,Deluxe,Booking.com,,,true
2023-10-09,2023-10-13,451.74,Confirmed,Deluxe,Booking.com,,,false
2023-04-05,2023-04-12,546.15,Confirmed,Double,Expedia,,,true
2024-03-26,2024-04-02,422.54,Confirmed,Single,Booking.com,,,true
2024-02-14,2024-02-18,173.28,Confirmed,Single,Expedia,,,true
2024-07-30,2024-08-03,1307.28,Confirmed,Suite,Booking.com,,,true
2024-11-26,2024-12-03,708.82,Confirmed,Deluxe,Direct,,,true
2025-11-29,2025-12-01,336.90,Confirmed,Family,Expedia,,,true
2025-06-27,2025-07-04,7.67,Cancelled,Deluxe,Direct,,,true
2025-10-14,2025-10-15,75.31,Confirmed,Double,Direct,,,true
2024-12-25,2024-12-27,194.14,Confirmed,Double,Direct,,,true
2025-01-03,2025-01-08,110.95,Confirmed,Deluxe,Direct,,,true
2025-08-21,2025-08-29,538.90,Confirmed,Single,Expedia,,,true
2023-01-25,2023-01-27,73.95,Confirmed,Double,Agoda,,,true
2025-07-31,2025-08-06,991.02,Confirmed,Family,Booking.com,,,true
2023-02-20,2023-02-22,7.67,Cancelled,Single,Expedia,,,true
2025-06-21,2025-06-24,687.53,Confirmed,Suite,Expedia,,,true
2023-04-27,2023-05-02,296.97,Confirmed,Single,Direct,,,true
2026-01-17,2026-01-22,488.20,Confirmed,Double,Agoda,,,true
2025-10-08,2025-10-10,131.42,Confirmed,Single,Booking.com,,,true
2025-12-10,2025-12-24,1135.29,Confirmed,Single,Booking.com,,,true
2024-03-19,2024-03-21,112.48,Confirmed,Double,Direct,,,true
2024-05-27,2024-05-29,96.05,Confirmed,Single,Expedia,,,true
2024-03-13,2024-03-18,235.66,Confirmed,Single,Booking.com,,,true
2024-09-11,2024-09-14,351.57,Confirmed,Deluxe,Direct,,,false
2025-11-26,2025-11-29,29.03,Cancelled,Single,Direct,,,true
2025-08-15,2025-08-18,542.49,Confirmed,Deluxe,Booking.com,,,true
2024-09-15,2024-09-17,318.35,Confirmed,Family,Agoda,,,true
2025-11-21,2025-12-01,511.45,Confirmed,Double,Booking.com,,,true
2025-03-14,2025-03-24,704.14,Confirmed,Double,Expedia,,,false
2023-12-01,2023-12-02,74.02,Confirmed,Single,Agoda,,,true
2025-07-16,2025-07-25,1012.82,Confirmed,Double,Direct,,,true
2024-11-19,2024-11-24,611.60,Confirmed,Deluxe,Expedia,,,true
2024-12-31,2025-01-10,1774.32,Confirmed,Deluxe,Direct,,,true
2025-05-25,2025-05-28,959.00,Confirmed,Suite,Expedia,,,true
2024-07-16,2024-07-17,91.36,Confirmed,Double,Booking.com,,,true
2025-08-30,2025-09-04,7.67,Cancelled,Double,Direct,,,true
2024-03-01,2024-03-02,58.19,Confirmed,Single,Agoda,,,true
2023-04-22,2023-04-24,235.84,Confirmed,Deluxe,Agoda,,,true
2023-06-06,2023-06-10,1176.71,Confirmed,Suite,Booking.com,,,true
2025-04-26,2025-04-28,253.20,Confirmed,Deluxe,Expedia,,,true
2024-02-24,2024-02-25,110.61,Confirmed,Family,Agoda,,,true
2025-05-23,2025-05-27,1196.92,Confirmed,Suite,Agoda,,,true
2023-02-10,2023-02-12,116.03,Confirmed,Single,Agoda,,,true
2023-05-24,2023-05-25,85.40,Confirmed,Double,Expedia,,,true
2023-09-06,2023-09-07,141.70,Confirmed,Family,Direct,,,true
2023-08-22,2023-08-24,283.48,Confirmed,Deluxe,Direct,,,true
2024-02-24,2024-03-05,1196.54,Confirmed,Deluxe,Expedia,,,false
2023-04-04,2023-04-08,7.67,Cancelled,Single,Booking.com,,,true
2025-01-07,2025-01-09,123.93,Confirmed,Double,Booking.com,,,true
2023-07-13,2023-07-14,64.64,Confirmed,Single,Expedia,,,true
2023-07-27,2023-07-28,101.05,Confirmed,Double,Direct,,,true
2023-05-16,2023-05-20,455.01,Confirmed,Double,Direct,,,true
2023-08-19,2023-08-26,497.17,Confirmed,Double,Booking.com,,,true
2023-06-27,2023-07-05,2198.59,Confirmed,Suite,Expedia,,,true
2024-11-19,2024-11-21,7.67,Cancelled,Single,Direct,,,true
2024-05-10,2024-05-11,173.07,Confirmed,Deluxe,Direct,,,true
2023-07-22,2023-07-26,452.64,Confirmed,Double,Agoda,,,true
2024-05-21,2024-05-23,193.67,Confirmed,Double,Booking.com,,,true
2024-03-19,2024-03-22,171.96,Confirmed,Double,Agoda,,,false
2025-07-22,2025-07-23,7.67,Cancelled,Single,Booking.com,,,true
2025-08-12,2025-08-13,40.66,Confirmed,Single,Agoda,,,true
2023-03-06,2023-03-07,49.40,Confirmed,Single,Agoda,,,true
2024-12-12,2024-12-13,95.42,Confirmed,Double,Agoda,,,true
2023-09-12,2023-09-14,7.67,Cancelled,Deluxe,Expedia,,,true
2025-07-31,2025-08-03,316.95,Confirmed,Double,Direct,,,true
2025-06-20,2025-06-29,1816.53,Confirmed,Family,Expedia,,,true
2023-07-02,2023-07-08,841.70,Confirmed,Family,Expedia,,,true
2024-02-03,2024-02-06,149.88,Confirmed,Single,Agoda,,,true
2024-12-17,2024-12-23,779.82,Confirmed,Deluxe,Direct,,,true
2023-12-16,2023-12-20,343.91,Confirmed,Single,Direct,,,true
2025-08-10,2025-08-17,7.67,Cancelled,Single,Booking.com,,,true
2025-06-12,2025-06-13,20.59,Cancelled,Double,Direct,,,true
2025-07-29,2025-08-03,776.48,Confirmed,Deluxe,Booking.com,,,true
2023-12-05,2023-12-10,87.21,Cancelled,Double,Expedia,,,true
2023-09-19,2023-09-24,714.89,Confirmed,Deluxe,Direct,,,true
2024-04-11,2024-04-14,460.83,Confirmed,Deluxe,Booking.com,,,true
2024-04-10,2024-04-15,231.96,Confirmed,Single,Booking.com,,,true
2025-04-18,2025-04-21,332.00,Confirmed,Deluxe,Direct,,,true
2024-09-04,2024-09-07,334.53,Confirmed,Family,Direct,,,false
2024-08-15,2024-08-17,156.04,Confirmed,Single,Booking.com,,,true
2025-04-14,2025-04-17,209.64,Confirmed,Single,Expedia,,,true
2023-04-18,2023-04-29,1239.28,Confirmed,Deluxe,Expedia,,,true
2023-12-27,2023-12-28,381.83,Confirmed,Suite,Booking.com,,,true
2024-08-05,2024-08-09,806.21,Confirmed,Family,Booking.com,,,true
2024-02-18,2024-02-19,36.53,Confirmed,Single,Booking.com,,,true
2025-09-11,2025-09-14,204.20,Confirmed,Double,Expedia,,,true
2023-08-28,2023-08-29,115.36,Confirmed,Double,Expedia,,,true
2024-10-21,2024-10-23,116.94,Confirmed,Single,Expedia,,,true
2024-06-14,2024-06-18,328.04,Confirmed,Double,Expedia,,,true
2024-01-22,2024-01-26,914.28,Confirmed,Suite,Expedia,,,true
2023-04-22,2023-04-26,342.04,Confirmed,Double,Booking.com,,,true
2023-11-17,2023-11-19,104.75,Confirmed,Double,Direct,,,false
2024-03-12,2024-03-14,250.13,Confirmed,Deluxe,Booking.com,,,true
2023-09-23,2023-09-27,447.37,Confirmed,Double,Expedia,,,true
2025-05-23,2025-06-06,1812.20,Confirmed,Family,Booking.com,,,true
2024-12-31,2025-01-04,303.32,Confirmed,Single,Direct,,,true
2025-09-13,2025-09-23,983.25,Confirmed,Deluxe,Agoda,,,true
2023-09-11,2023-09-14,243.21,Confirmed,Double,Booking.com,,,true
2023-08-12,2023-08-14,804.86,Confirmed,Suite,Booking.com,,,true
2025-09-02,2025-09-05,7.67,Cancelled,Suite,Direct,,,true
2025-01-13,2025-01-14,61.84,Confirmed,Single,Agoda,,,true
2023-05-10,2023-05-11,87.40,Confirmed,Single,Direct,,,true
2023-01-29,2023-01-31,168.40,Confirmed,Double,Agoda,,,true
2023-04-02,2023-04-07,727.65,Confirmed,Deluxe,Direct,,,true
2023-05-04,2023-05-13,503.14,Confirmed,Single,Expedia,,,true
2023-11-23,2023-11-24,69.90,Confirmed,Double,Expedia,,,true
2024-11-20,2024-11-24,208.76,Confirmed,Single,Booking.com,,,true
2025-10-25,2025-10-28,203.36,Confirmed,Single,Booking.com,,,true
2023-05-12,2023-05-15,189.85,Confirmed,Single,Expedia,,,true
2024-05-24,2024-05-25,61.94,Confirmed,Double,Agoda,,,true
2024-12-02,2024-12-06,447.91,Confirmed,Double,Direct,,,true
2025-09-21,2025-09-23,167.70,Confirmed,Double,Expedia,,,true
2025-10-31,2025-11-06,7.67,Cancelled,Single,Direct,,,true
2024-11-05,2024-11-07,185.30,Confirmed,Deluxe,Booking.com,,,true
2024-02-24,2024-02-28,518.47,Confirmed,Deluxe,Booking.com,,,true
2023-01-13,2023-01-17,7.67,Cancelled,Family,Booking.com,,,true
2024-11-05,2024-11-12,458.78,Confirmed,Double,Booking.com,,,true
2023-09-25,2023-09-27,344.62,Confirmed,Family,Direct,,,true
2023-06-12,2023-06-18,1099.54,Confirmed,Suite,Expedia,,,true
2025-03-26,2025-03-27,138.68,Confirmed,Deluxe,Direct,,,true
2023-07-02,2023-07-13,1208.77,Confirmed,Double,Direct,,,true
2024-12-02,2024-12-14,444.72,Confirmed,Single,Direct,,,false
2025-07-21,2025-07-28,374.39,Confirmed,Single,Booking.com,,,true
2025-10-23,2025-10-25,97.34,Confirmed,Single,Booking.com,,,true
2023-03-16,2023-03-19,129.93,Confirmed,Single,Agoda,,,true
2025-07-23,2025-07-27,1079.32,Confirmed,Family,Direct,,,false
2024-03-20,2024-03-24,780.77,Confirmed,Suite,Direct,,,true
2023-07-09,2023-07-15,400.09,Confirmed,Single,Expedia,,,true
2023-11-14,2023-11-19,510.20,Confirmed,Deluxe,Expedia,,,true
2024-02-19,2024-02-20,64.26,Confirmed,Double,Agoda,,,true
2025-03-04,2025-03-05,49.86,Confirmed,Single,Expedia,,,true
2023-08-07,2023-08-11,262.08,Confirmed,Single,Booking.com,,,true
2023-02-22,2023-02-26,531.14,Confirmed,Deluxe,Booking.com,,,true
2025-02-11,2025-02-19,635.36,Confirmed,Double,Agoda,,,true
2024-03-18,2024-03-22,283.14,Confirmed,Double,Direct,,,true
2024-06-22,2024-06-23,52.78,Confirmed,Single,Direct,,,true
2023-12-23,2023-12-30,928.47,Confirmed,Deluxe,Agoda,,,true
2024-07-29,2024-08-01,318.92,Confirmed,Double,Direct,,,true
2024-01-11,2024-01-12,55.79,Confirmed,Single,Direct,,,true
2023-11-18,2023-11-22,122.47,Cancelled,Single,Agoda,,,true
2024-09-07,2024-09-15,766.16,Confirmed,Double,Expedia,,,true
2023-10-10,2023-10-11,59.07,Confirmed,Double,Booking.com,,,true
2025-03-07,2025-03-14,7.67,Cancelled,Single,Booking.com,,,true
2025-11-19,2025-11-23,388.38,Confirmed,Deluxe,Direct,,,true
2024-05-23,2024-05-28,648.60,Confirmed,Deluxe,Direct,,,true
2025-09-01,2025-09-05,242.11,Confirmed,Double,Expedia,,,true
2025-01-17,2025-01-24,322.61,Confirmed,Single,Booking.com,,,true
2023-08-15,2023-08-17,193.46,Confirmed,Single,Expedia,,,true
2023-06-22,2023-06-25,178.41,Confirmed,Double,Expedia,,,false
2025-04-30,2025-05-03,191.25,Confirmed,Deluxe,Expedia,,,true
2025-06-16,2025-06-21,258.26,Confirmed,Single,Expedia,,,true
2024-08-15,2024-08-18,323.13,Cancelled,Suite,Agoda,,,true
2025-06-02,2025-06-06,338.51,Confirmed,Double,Agoda,,,true
2024-06-24,2024-07-05,626.57,Confirmed,Single,Booking.com,,,true
2025-08-29,2025-08-30,68.44,Confirmed,Single,Booking.com,,,true
2024-06-05,2024-06-07,139.26,Confirmed,Double,Agoda,,,true
2024-06-17,2024-06-21,240.96,Confirmed,Single,Booking.com,,,false
2026-01-16,2026-01-28,556.52,Confirmed,Single,BOOKING.COM,,,true
2024-04-06,2024-04-09,69.91,Cancelled,Double,Direct,,,true
2023-12-18,2023-12-25,570.72,Confirmed,Double,Direct,,,true
2024-06-05,2024-06-11,251.26,Confirmed,Single,Booking.com,,,true
2024-12-19,2024-12-20,128.15,Confirmed,Deluxe,Direct,,,true
2025-08-29,2025-08-30,268.09,Confirmed,Family,Direct,,,true
2025-10-01,2025-10-06,760.70,Confirmed,Deluxe,Agoda,,,true
2024-02-09,2024-02-15,1304.34,Confirmed,Suite,Booking.com,,,true
2023-08-08,2023-08-19,1589.22,Confirmed,Deluxe,Booking.com,,,true
2023-09-03,2023-09-05,113.98,Confirmed,Single,Direct,,,true
2024-10-07,2024-10-15,598.10,Confirmed,Double,Expedia,,,true
2025-04-22,2025-04-23,142.51,Confirmed,Deluxe,Booking.com,,,true
2025-05-20,2025-05-27,649.92,Confirmed,Deluxe,Agoda,,,true
2026-01-04,2026-01-07,7.67,Cancelled,Double,Booking.com,,,true
2024-01-07,2024-01-08,89.85,Confirmed,Double,Expedia,,,true
2025-07-13,2025-07-16,7.67,Cancelled,Deluxe,Expedia,,,true
2023-07-28,2023-07-31,224.88,Confirmed,Single,Agoda,,,true
2024-01-31,2024-02-03,153.60,Confirmed,Double,Booking.com,,,true
2025-06-28,2025-06-30,143.20,Confirmed,Single,Direct,,,true
2024-07-21,2024-07-24,788.78,Confirmed,Family,Direct,,,true
2024-12-28,2025-01-02,896.00,Confirmed,Family,Expedia,,,true
2024-06-22,2024-06-24,167.98,Confirmed,Single,Direct,,,false
2025-09-25,2025-09-28,248.43,Confirmed,Deluxe,Expedia,,,true
2024-07-20,2024-07-25,1384.45,Confirmed,Family,Direct,,,true
2024-09-13,2024-09-25,595.08,Confirmed,Single,Expedia,,,true
2025-05-11,2025-05-13,98.82,Confirmed,Double,Direct,,,true
2023-07-26,2023-07-27,190.66,Confirmed,Deluxe,Booking.com,,,true
2024-12-21,2024-12-24,317.91,Confirmed,Double,Expedia,,,true
2025-06-20,2025-06-24,211.43,Confirmed,Single,Booking.com,,,true
2024-12-29,2024-12-31,105.39,Confirmed,Single,Booking.com,,,true
2023-01-22,2023-01-25,37.72,Cancelled,Single,Agoda,,,false
2024-05-01,2024-05-07,385.43,Confirmed,Single,Booking.com,,,true
2023-12-11,2023-12-15,326.84,Confirmed,Double,Booking.com,,,false
2023-04-17,2023-04-18,79.94,Confirmed,Double,Agoda,,,true
2024-09-13,2024-09-16,186.54,Confirmed,Single,Agoda,,,true
2023-10-19,2023-10-22,256.71,Confirmed,Double,Booking.com,,,true
2023-12-16,2023-12-17,107.24,Confirmed,Double,Agoda,,,false
2024-05-10,2024-05-14,248.15,Confirmed,Single,Expedia,,,true
2025-07-13,2025-07-16,370.16,Confirmed,Deluxe,Booking.com,,,false
2024-11-12,2024-11-13,87.89,Confirmed,Double,Agoda,,,true
2024-10-22,2024-10-23,56.53,Confirmed,Single,Expedia,,,false
2024-05-11,2024-05-15,7.67,Cancelled,Suite,Direct,,,true
2025-04-28,2025-05-01,544.72,Confirmed,Family,Direct,,,true
2024-12-27,2024-12-30,243.42,Confirmed,Single,Booking.com,,,false
2025-09-08,2025-09-10,22.68,Cancelled,Single,Expedia,,,true
2024-10-29,2024-11-01,211.80,Confirmed,Single,Expedia,,,true
2025-12-28,2025-12-30,165.95,Confirmed,Double,Expedia,,,true
2024-03-03,2024-03-04,54.00,Confirmed,Single,Expedia,,,true
2024-05-17,2024-05-20,200.37,Confirmed,Single,Agoda,,,false
2025-05-02,2025-05-05,152.46,Confirmed,Single,Agoda,,,true
2024-04-21,2024-04-22,56.17,Confirmed,Single,Direct,,,true
2023-10-10,2023-10-11,52.01,Confirmed,Single,Direct,,,true
2024-09-14,2024-09-15,79.01,Confirmed,Single,Expedia,,,true
2024-06-22,2024-07-01,163.72,Confirmed,Deluxe,Direct,,,true
2023-11-06,2023-11-08,121.28,Confirmed,Single,Booking.com,,,true
2024-01-03,2024-01-07,245.86,Confirmed,Single,Booking.com,,,true
2025-12-04,2025-12-08,195.27,Cancelled,Double,Booking.com,,,true
2024-12-11,2024-12-17,525.84,Confirmed,Double,Booking.com,,,true
2025-03-12,2025-03-13,121.78,Confirmed,Deluxe,Booking.com,,,true
2026-02-10,2026-02-12,299.09,Confirmed,Family,Booking.com,,,true
2024-02-02,2024-02-08,369.12,Confirmed,Single,Booking.com,,,true
2023-12-12,2023-12-13,77.58,Confirmed,Single,Booking.com,,,false
2024-07-28,2024-08-01,379.44,Confirmed,Double,Direct,,,true
2024-05-19,2024-05-21,138.70,Confirmed,Single,Booking.com,,,true
2025-08-29,2025-09-02,285.02,Confirmed,Single,Direct,,,true
2024-01-02,2024-01-04,84.18,Confirmed,Single,Agoda,,,true
2024-07-15,2024-07-21,774.30,Confirmed,Deluxe,Direct,,,true
2024-02-05,2024-02-08,181.06,Confirmed,Double,Direct,,,true
2025-06-01,2025-06-02,40.02,Confirmed,Single,Agoda,,,true
2023-05-06,2023-05-10,789.64,Confirmed,Family,Direct,,,true
2024-10-11,2024-10-14,659.69,Confirmed,Suite,Direct,,,true
2025-02-13,2025-02-18,1067.62,Confirmed,Suite,Expedia,,,true
2024-10-25,2024-11-03,903.46,Confirmed,Deluxe,Agoda,,,true
2024-11-06,2024-11-14,1001.68,Confirmed,Deluxe,Agoda,,,true
2023-08-15,2023-08-19,7.67,Cancelled,Single,Booking.com,,,true
2023-01-23,2023-01-25,109.98,Confirmed,Single,Booking.com,,,false
2023-03-22,2023-03-24,99.64,Confirmed,Single,Agoda,,,true
2023-05-08,2023-05-15,1930.07,Confirmed,Suite,Expedia,,,true
2023-11-07,2023-11-08,7.67,Cancelled,Family,Direct,,,true
2025-01-17,2025-01-21,170.51,Confirmed,Single,Agoda,,,true
2024-03-14,2024-03-18,361.92,Confirmed,Double,Expedia,,,true
2023-02-06,2023-02-10,334.12,Confirmed,Double,Expedia,,,true
2023-10-30,2023-11-03,324.12,Confirmed,Deluxe,Direct,,,true
2024-04-14,2024-04-15,61.17,Confirmed,Single,Direct,,,true
2023-06-06,2023-06-10,422.04,Confirmed,Deluxe,Expedia,,,true
2025-07-26,2025-07-31,749.30,Confirmed,Double,Booking.com,,,false
2024-09-15,2024-09-17,301.48,Confirmed,Deluxe,Booking.com,,,true
2024-04-26,2024-04-28,7.67,Cancelled,Single,Agoda,,,true
2024-01-16,2024-01-20,174.12,Confirmed,Single,Booking.com,,,true
2025-05-29,2025-05-31,7.67,Cancelled,Double,Direct,,,true
2025-08-19,2025-08-30,1383.01,Confirmed,Deluxe,Booking.com,,,true
2024-08-07,2024-08-15,1000.42,Confirmed,Deluxe,Expedia,,,true
2026-01-21,2026-01-26,863.35,Confirmed,Family,Agoda,,,false
2024-08-04,2024-08-11,161.99,Cancelled,Double,Direct,,,true
2024-06-14,2024-06-17,193.89,Confirmed,Single,Agoda,,,true
2025-11-09,2025-11-12,7.67,Cancelled,Double,Direct,,,true
2025-03-25,2025-03-30,804.32,Confirmed,Family,Booking.com,,,true
2024-08-28,2024-08-30,7.67,Cancelled,Double,Direct,,,true
2025-06-01,2025-06-04,325.21,Confirmed,Family,Booking.com,,,true
2023-04-25,2023-04-26,75.00,Confirmed,Deluxe,Direct,,,true
2024-03-30,2024-04-02,294.83,Confirmed,Family,Booking.com,,,true
2023-02-11,2023-02-21,637.47,Confirmed,Double,Booking.com,,,true
2023-07-13,2023-07-16,382.44,Confirmed,Double,Booking.com,,,true
2025-10-10,2025-10-12,176.66,Confirmed,Single,Direct,,,true
2025-03-21,2025-03-26,97.54,Cancelled,Double,Booking.com,,,true
2024-01-06,2024-01-09,838.08,Confirmed,Suite,Expedia,,,false
2023-05-10,2023-05-20,895.56,Confirmed,Double,Agoda,,,true
2025-03-20,2025-03-22,191.98,Confirmed,Double,Booking.com,,,true
2023-10-07,2023-10-11,183.40,Cancelled,Family,Agoda,,,false
2025-10-08,2025-10-11,428.41,Confirmed,Family,Direct,,,true
2024-05-08,2024-05-12,1147.30,Confirmed,Family,Direct,,,true
2023-11-16,2023-11-18,139.08,Confirmed,Double,Expedia,,,true
2023-12-10,2023-12-16,491.46,Confirmed,Double,Direct,,,true
2024-07-04,2024-07-05,130.22,Confirmed,Deluxe,Direct,,,true
2025-05-30,2025-05-31,84.97,Confirmed,Double,Booking.com,,,true
2023-07-31,2023-08-05,1610.11,Confirmed,Suite,Direct,,,true
2025-09-09,2025-09-11,164.56,Confirmed,Double,Direct,,,true
2023-12-12,2023-12-18,361.10,Confirmed,Single,Expedia,,,false
2024-03-12,2024-03-13,28.00,Confirmed,Single,Direct,,,true
2023-06-04,2023-06-09,610.14,Confirmed,Deluxe,Direct,,,true
2025-09-22,2025-10-01,1162.11,Confirmed,Deluxe,Booking.com,,,true
2024-11-25,2024-11-29,525.53,Confirmed,Deluxe,Expedia,,,true
2023-04-24,2023-04-28,270.32,Confirmed,Single,Expedia,,,true
2023-12-31,2024-01-03,849.03,Confirmed,Family,Booking.com,,,false
2023-08-17,2023-08-20,512.37,Confirmed,Deluxe,Booking.com,,,false
2024-10-20,2024-10-23,383.92,Confirmed,Deluxe,Direct,,,true
2023-04-26,2023-05-01,396.85,Confirmed,Double,Booking.com,,,false
2024-09-28,2024-09-30,290.43,Confirmed,Deluxe,Agoda,,,true
2025-12-16,2025-12-22,1363.89,Confirmed,Family,Direct,,,true
2024-11-17,2024-11-23,567.16,Confirmed,Deluxe,Direct,,,true
2023-08-17,2023-08-20,213.69,Confirmed,Single,Direct,,,true
2025-06-03,2025-06-06,370.79,Confirmed,Deluxe,Expedia,,,true
2023-08-30,2023-09-03,417.92,Confirmed,Double,Agoda,,,true
2023-07-14,2023-07-18,344.12,Confirmed,Single,Expedia,,,true
2025-03-06,2025-03-07,96.09,Confirmed,Double,Direct,,,true
2025-11-30,2025-12-02,75.33,Cancelled,Deluxe,Direct,,,true
2024-09-25,2024-09-27,114.25,Confirmed,Single,Booking.com,,,false
2023-04-02,2023-04-07,864.36,Confirmed,Deluxe,Direct,,,true
2025-09-01,2025-09-06,314.64,Confirmed,Double,Direct,,,true
2023-01-20,2023-01-22,132.40,Confirmed,Double,Booking.com,,,true
2023-01-28,2023-02-03,771.98,Confirmed,Deluxe,Direct,,,true
2023-01-10,2023-01-14,1186.82,Confirmed,Suite,Direct,,,true
2025-06-08,2025-06-11,190.23,Confirmed,Double,Direct,,,false
2024-06-04,2024-06-05,96.98,Confirmed,Double,Expedia,,,true
2025-11-14,2025-11-24,1431.81,Confirmed,Family,Direct,,,true
